"","ENST","ENSG","Symbol","Entrez"
"308","ENST00000612933","ENSG00000275659","KIR3DL1",3811
"310","ENST00000619424","ENSG00000278755","KIR2DL1",3802
"311","ENST00000614716","ENSG00000274271","LILRP1",NA
"312","ENST00000610679","ENSG00000278360","",NA
"313","ENST00000613952","ENSG00000276139","KIR2DS2",100132285
"316","ENST00000611422","ENSG00000274676","",57292
"317","ENST00000614181","ENSG00000274724","KIR3DL3",115653
"318","ENST00000631812","ENSG00000282507","",NA
"319","ENST00000613972","ENSG00000274009","",NA
"320","ENST00000616570","ENSG00000274942","KIR2DP1",NA
"321","ENST00000614513","ENSG00000277193","KIR2DS3",3808
"322","ENST00000611451","ENSG00000274920","KIR3DL1",3811
"324","ENST00000617680","ENSG00000273518","KIR3DL1",3811
"326","ENST00000625658","ENSG00000275018","",NA
"327","ENST00000622812","ENSG00000278345","",NA
"328","ENST00000621718","ENSG00000274146","KIR3DL1",3811
"330","ENST00000617974","ENSG00000276392","",57292
"331","ENST00000617511","ENSG00000278051","KIR3DP1",NA
"332","ENST00000617127","ENSG00000275080","KIR2DL1",3802
"333","ENST00000616900","ENSG00000276035","KIR3DP1",NA
"334","ENST00000620550","ENSG00000278850","KIR3DL2",3812
"336","ENST00000613103","ENSG00000276212","KIR3DP1",NA
"338","ENST00000619369","ENSG00000276001","LILRP1",NA
"339","ENST00000619848","ENSG00000277964","KIR2DL4",3805
"340","ENST00000611813","ENSG00000276099","LILRP1",NA
"341","ENST00000612594","ENSG00000273578","KIR2DL2",3803
"342","ENST00000622882","ENSG00000274193","KIR2DL4",3805
"344","ENST00000620926","ENSG00000276498","KIR3DS1",3813
"346","ENST00000616780","ENSG00000275521","NCR1",9437
"352","ENST00000612502","ENSG00000274480","KIR3DL3",115653
"353","ENST00000621964","ENSG00000273522","KIR2DP1",NA
"354","ENST00000617953","ENSG00000276247","LILRP2",79166
"356","ENST00000617398","ENSG00000278726","KIR3DL2",3812
"358","ENST00000620756","ENSG00000277551","",NA
"359","ENST00000619479","ENSG00000274243","KIR2DS5",3810
"360","ENST00000621701","ENSG00000278710","KIR3DL2",3812
"362","ENST00000610920","ENSG00000278414","KIR2DL5B",553128
"363","ENST00000621268","ENSG00000275289","LILRP2",79166
"365","ENST00000619778","ENSG00000273881","LILRP1",NA
"366","ENST00000610836","ENSG00000277940","",NA
"367","ENST00000617853","ENSG00000278369","KIR2DL3",3804
"368","ENST00000615739","ENSG00000273887","KIR2DL3",3804
"369","ENST00000615309","ENSG00000276450","NCR1",9437
"370","ENST00000614298","ENSG00000275970","FCAR",2204
